lsoa_code,lsoa_name,area_km2,infra_metres,infra_density_m_per_km2,imd_score,imd_rank,imd_decile,imd_quintile,total_workers,active_travel_count,active_travel_pct,cycling_pct,walking_pct,log_infra_density,borough
E01004766,Bolton 005A,0.5464582327134742,206.4637795910526,377.82170206466316,30.687,7694,3,2,678,51,7.52,0.59,6.93,5.9370656512882,Bolton
E01004767,Bolton 005B,0.5964223225861232,0.0,0.0,24.997,10776,4,2,881,79,8.97,0.57,8.4,0.0,Bolton
E01004768,Bolton 001A,3.6699130247567804,0.0,0.0,7.028,28288,9,5,836,26,3.11,0.36,2.75,0.0,Bolton
E01004769,Bolton 003A,0.40304165398376474,0.0,0.0,10.019,24505,8,4,774,33,4.26,0.78,3.49,0.0,Bolton
E01004770,Bolton 003B,0.40369420666348493,0.0,0.0,11.437,22815,7,4,633,31,4.9,0.63,4.27,0.0,Bolton
E01004771,Bolton 003C,0.44297957073149546,0.0,0.0,5.833,29639,10,5,793,34,4.29,0.25,4.04,0.0,Bolton
E01004772,Bolton 005C,0.2992661486149159,0.0,0.0,34.074,6242,2,1,763,60,7.86,0.66,7.21,0.0,Bolton
E01004773,Bolton 003D,0.2822140728931371,0.0,0.0,13.745,20211,7,4,976,66,6.76,0.82,5.94,0.0,Bolton
E01004810,Bolton 002E,0.8140386981641671,113.41565855024744,139.32465226287673,7.551,27629,9,5,783,32,4.09,0.26,3.83,4.943958682741292,Bolton
E01004811,Bolton 022A,0.5170152718891631,269.7725225909113,521.7883054114981,55.169,1441,1,1,564,92,16.31,1.42,14.89,6.259176612355838,Bolton
E01004812,Bolton 022B,0.7002172213905085,576.8629358981427,823.8342592497143,44.707,3116,1,1,839,94,11.2,1.19,10.01,6.7151824682728645,Bolton
E01004813,Bolton 022C,0.1553736209120906,650.4319314260647,4186.2442775538775,40.255,4195,2,1,597,75,12.56,0.34,12.23,8.339798106221757,Bolton
E01004814,Bolton 027A,0.9049014084569883,652.2039949532985,720.7459164699699,43.679,3321,2,1,687,37,5.39,0.73,4.66,6.581673160709193,Bolton
E01004815,Bolton 022D,0.20511616821731785,0.0,0.0,35.416,5745,2,1,635,76,11.97,0.47,11.5,0.0,Bolton
E01004816,Bolton 029A,0.22760536986493385,9.800607592864809,43.059650124602555,30.94,7584,3,2,965,77,7.98,0.21,7.77,3.7855444004575696,Bolton
E01004817,Bolton 022E,0.9287418321170396,2763.33788231684,2975.3563226692318,37.614,5003,2,1,919,131,14.25,0.87,13.38,7.998455120865384,Bolton
E01004818,Bolton 017A,0.26003463008387145,376.22499589247576,1446.826508342863,53.115,1707,1,1,675,109,16.15,2.22,13.93,7.277818751086966,Bolton
